order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD209464,ID6167191153,2022-02-22,Nickolson,"[('Thunder line', 1), ('Candle Inferno', 2)]",3040,70.548,-37.8143075,144.9701809,0,Summer,False,0.48048,works good works good,True
ORD404725,ID0144720457,2022-07-21,Nickolson,"[('iAssist Line', 2), ('pearTV', 2), ('Universe Note', 2)]",23970,33.019,-37.8199049,144.956864,50,Winter,False,1.1251200000000001,worked out great exactly as promised. was worried i wouldn't be able to activate it with an american carrier (since the included documentation indicated that might be a problem as opposed to requiring a european carrier to activate it first) but it worked fine.,True
ORD217039,ID6167489484,2022-08-27,Nickolson,"[('Candle Inferno', 1), ('Alcon 10', 1)]",9380,77.156,-37.81791870000001,144.9618773,0,Winter,True,0.67898,very happy very happy,True
ORD144171,ID1350323383,2022-01-15,Nickolson,"[('Olivia x460', 2), ('iAssist Line', 1)]",4675,57.691,-37.8203612,144.9777006,0,Summer,False,0.74311,completely broken after only 5 months usb doesn't work and service window closed after only 90 days. will not woot again!,False
ORD322159,ID0634784121,2022-10-05,Thompson,"[('Alcon 10', 1), ('Universe Note', 1)]",12400,76.388,-37.8141043,144.9378236,25,Spring,True,0.8285100000000001,"it's not expensive and it fits the necessities. it works perfectly, it was what i expected.",True
ORD358088,ID0419481493,2022-03-25,Bakers,"[('Alcon 10', 2), ('Olivia x460', 1), ('pearTV', 2), ('Lucent 330S', 2)]",34205,81.247,-37.8184546,144.9904617,0,Autumn,True,1.0308,excellent deal got this for my 9 year old son while away on vacation and we've been able to keep in touch the whole time. he loves his phone and the large screen makes it great for gaming too.,True
ORD316478,ID0702351320,2022-02-10,Thompson,"[('pearTV', 2), ('iAssist Line', 2)]",17070,62.373000000000005,-37.8054165,144.9365283,0,Summer,False,1.22959,stolen the phone i received was stolen and is useless.,False
ORD110499,ID0030220445,2022-03-18,Bakers,"[('iStream', 2), ('pearTV', 1), ('Toshika 750', 2), ('Lucent 330S', 1)]",16480,56.872,-37.8096216,144.9914506,25,Autumn,True,0.33516,they are very happy with the phone got these as a gift for my son and dil. they are very happy with the phone. has lots of storage and is easy to use.,True
ORD355139,ID5301568561,2022-02-27,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1), ('Universe Note', 1)]",8630,45.573,-37.8088949,144.9421274,50,Summer,True,0.60478,four stars i love this phone was a good buy.,True
ORD426221,ID0733342432,2022-03-28,Thompson,"[('pearTV', 1), ('Toshika 750', 1)]",10630,41.045,-37.8010036,144.9628949,50,Autumn,True,1.9039,"nearly as good as the $750 alcon xr! the lucent g7 is a phone with a great phone for under $300. the display is beautiful, the photos are great, and the phone is very fast. overall, this is a great phone that i would highly recommend.",True
ORD361824,ID0356448679,2022-07-22,Bakers,"[('pearTV', 2), ('Thunder line', 1)]",14800,58.385,-37.8075137,144.9879565,25,Winter,True,0.69698,very happy bought this for my mother and i could not be happier. phone looks and works as new. fast shipping and great customer service,True
ORD351366,ID0055900730,2022-08-24,Nickolson,"[('pearTV', 2), ('iAssist Line', 1)]",14845,55.135,-37.8172842,144.9764721,25,Winter,True,0.6258600000000001,good phone that won't require a purchase plan. love this phone. easy to use and not a budget breaker. i understand it is the last in this series with an audio plug.,True
ORD188459,ID0257505384,2022-03-22,Thompson,"[('Lucent 330S', 2), ('pearTV', 2)]",15080,41.865,-37.7991869,144.9629765,50,Autumn,True,2.05212,"good! the phone has high resolution display and camera. i expected the memory to lag, but it efficiently executes programs on the phone.",True
ORD479214,ID2189162941,2022-07-02,Thompson,"[('Candle Inferno', 2), ('pearTV', 2), ('Thunder line', 1), ('Lucent 330S', 1)]",16890,31.726999999999997,-37.8117454,144.95640369999995,50,Winter,True,0.8274,one star this thing should be called the s6.5.,False
ORD165578,ID3793626746,2022-03-19,Nickolson,"[('iAssist Line', 2), ('Lucent 330S', 2), ('pearTV', 1), ('Candle Inferno', 2)]",14080,26.14,-37.8234736,144.97819109999998,50,Autumn,False,0.93389,turns out the antenna is bad and i have to return it never could figure out why the phone didn't work as well as my 7 edge. i thought maybe it was the age on technology...turns out the antenna is bad and i have to return it. other then that all was good...,False
ORD260080,ID0241807400,2022-07-22,Bakers,"[('pearTV', 2), ('Olivia x460', 2), ('Candle Inferno', 2), ('Toshika 750', 1)]",20250,46.883,-37.8122321,144.9898339,25,Winter,False,0.53603,"universe s7 edge seller sent wrong phone at first, was very easy to work with sent the right phone out very fast. great communication too .cell phone is great cosmetically, it takes great pictures, good graphics, only problem is they get a line down the screen as a defect.",True
ORD179709,ID0034160616,2022-09-19,Nickolson,"[('Alcon 10', 1), ('Candle Inferno', 2), ('Lucent 330S', 2), ('Toshika 750', 1)]",16590,81.23,-37.803041799999995,144.9694649,25,Spring,True,1.73135,great price on sale awesome phone,True
ORD298418,ID3961293508,2022-01-10,Nickolson,"[('iStream', 2), ('Thunder line', 1)]",2480,59.132,-37.8082762,144.9631593,25,Summer,False,1.27882,everything i expected i don't like to upgrade until i really have. i was perfectly happy with my s2 but when it broke the obvious choice was the s4. definitely worth the upgrade.,True
ORD422977,ID0373002203,2022-10-21,Bakers,"[('Thunder line', 2), ('Candle Inferno', 1)]",4790,65.592,-37.803912,144.9885591,25,Spring,True,0.89617,i did not receive a case!!! very disappointed that i did not receive a case!,False
ORD196682,ID0575374804,2022-01-14,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 1), ('Thunder line', 1)]",11250,48.336000000000006,-37.81932000000001,144.98348149999995,50,Summer,True,1.22764,this was great buy & can do it all.fair price & great games,True
ORD021425,ID0030385486,2022-12-07,Bakers,"[('Toshika 750', 2), ('pearTV', 1)]",14950,58.72,-37.8168076,144.9994885,0,Summer,False,0.8456,this phone sucks balls big time this phone sucks balls big time! very slow & freezes in a heartbeat for no freaking reason. this is my 3rd olivia in 2 years...switching to alcon next time!! if i could give it zero stars i would it really deserves minus 10,False
ORD361893,ID0702351321,2022-09-20,Thompson,"[('pearTV', 1), ('Olivia x460', 2)]",8760,40.348,-37.8051653,144.9366579,50,Spring,False,1.2397,i phone 6 it was a gift so far so good,True
ORD138753,ID2272185773,2022-07-05,Bakers,"[('iAssist Line', 2), ('Lucent 330S', 1), ('Candle Inferno', 1), ('Thunder line', 1)]",8290,52.008,-37.8205659,145.01441069999996,25,Winter,True,2.0564299999999998,defected comes with defected sim coverage ..,False
ORD474488,ID0711331416,2022-11-25,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 2)]",18760,39.058,-37.807159999999996,144.95652969999998,50,Spring,False,1.03389,great phone the phone has many new features clarity of pictures is amazing,True
ORD460843,ID3106293372,2022-10-18,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 2)]",5310,80.098,-37.80658320000001,144.9324858,25,Spring,True,1.45068,"looks brand new phone works good, looks brand new",True
ORD332751,ID2927793636,2022-11-07,Bakers,"[('Universe Note', 1), ('Candle Inferno', 2), ('pearTV', 1), ('iStream', 1)]",10770,52.35,-37.82230620000001,144.9967359,50,Spring,True,1.37669,i fall in love with it because it so flat and neat at first i was wondering if i should purchase it but i did and i'm so happy i did,True
ORD100701,ID0663120884,2022-07-19,Thompson,"[('Universe Note', 1), ('Alcon 10', 2)]",21350,40.986000000000004,-37.800112899999995,144.95536040000005,50,Winter,True,1.57692,"really like phone can t beat price ! verizon , net 10 hook up on line simple and fast with out talking to someone",True
ORD025146,ID0356098227,2022-03-26,Bakers,"[('Alcon 10', 2), ('Universe Note', 1), ('Olivia x460', 1)]",22575,40.859,-37.8207291,144.9909791,50,Autumn,True,1.25193,"best phone ever best phone ever. dual sim, and brand new even in america. i'm using in brazil, and is working perfect. way better then the s7 and much better the the alcon 7. i do recomend it",True
ORD424673,ID3730054579,2022-05-04,Bakers,"[('Toshika 750', 2), ('pearTV', 1), ('iStream', 2), ('Thunder line', 2)]",19610,58.81,-37.8054502,144.99880090000005,25,Autumn,True,0.59548,dont bye the phone plz plz plz!!! nobody bye this phone i beg you i ben wanting to get this phone for a while plz!,True
ORD332781,ID6167285769,2022-06-08,Nickolson,"[('Universe Note', 1), ('iAssist Line', 2), ('Olivia x460', 2), ('Alcon 10', 1)]",19300,77.372,-37.810362700000006,144.9607907,0,Winter,True,1.19719,"purchased another a50 for my wife. i purchased this phone for use on tmobile. it performs well with great features. excellent screen , 64g memory, good camera. this purchase was for another a50 phone for my wife (she likes it also).",True
ORD395831,ID1112411377,2022-07-05,Thompson,"[('Thunder line', 2), ('Candle Inferno', 2)]",5220,53.888000000000005,-37.8031312,144.929427,25,Winter,False,1.8803299999999998,five stars good phone,True
ORD424841,ID1681675813,2022-09-08,Nickolson,"[('Universe Note', 1), ('iAssist Line', 2), ('Lucent 330S', 1)]",9130,63.917,-37.80999420000001,144.9761225,0,Spring,False,1.1183100000000001,"switching to oneplus from my pixel 2. luv camera bot others caught up with google. terrible battery life, low storage just 64 for $800 and no more unlimited cloud backup for your pics and videos on original quality.",False
ORD495181,ID0591258553,2022-12-24,Thompson,"[('Toshika 750', 2), ('Alcon 10', 2), ('Thunder line', 2), ('Candle Inferno', 2)]",31760,39.438,-37.823999900000004,144.9537655,50,Summer,False,1.3915899999999999,,False
ORD212363,ID0035365678,2022-11-12,Thompson,"[('Candle Inferno', 1), ('Thunder line', 2), ('iStream', 2)]",5090,81.963,-37.7990704,144.9505355,0,Spring,False,1.54461,great price and extremely fast shipping brand new in box as described. great price and extremely fast shipping.,True
ORD038585,ID0250479861,2022-02-26,Bakers,"[('Thunder line', 2), ('iAssist Line', 1)]",6585,38.869,-37.8159705,145.00585700000005,50,Summer,False,1.1469,g6 better phone for money i think my g6 was a better phone. this phone doesn't charge as quickly and doesn't hold the charge very long. it does do a lot for the price but i should have just stayed with my g6.,True
ORD355767,ID0060095204,2022-08-01,Bakers,"[('pearTV', 2), ('Olivia x460', 1), ('iStream', 1), ('Alcon 10', 2)]",31895,82.059,-37.8245784,144.9887206,0,Winter,True,1.7212900000000002,good deal! so far so good.,True
ORD188392,ID1833120524,2022-10-14,Thompson,"[('Thunder line', 1), ('Universe Note', 1), ('Candle Inferno', 1)]",6060,53.785,-37.7997915,144.9549504,50,Spring,True,1.59271,best phone this phone is almost the same as a olivia universe 10. it has 3 cameras on the back face recognition and finger print. this is a big big jump from me from a olivia universe j7 if you have metro or tmobile this phone is your best option,True
ORD440526,ID1479905324,2022-06-30,Nickolson,"[('Alcon 10', 1), ('iStream', 1)]",9100,67.6,-37.8207129,144.9568024,0,Winter,False,1.1455600000000001,bought it for my daughter she loves it and says it is easy to handle. she would buy another one. i am glad i sent it to her.,True
ORD219849,ID4716795757,2022-06-20,Thompson,"[('iAssist Line', 1), ('Thunder line', 2)]",6585,64.495,-37.818750099999995,144.9532499,0,Winter,False,0.8677799999999999,nice phone works fine,True
ORD044634,ID5630513724,2022-12-09,Thompson,"[('iAssist Line', 2), ('Toshika 750', 1), ('Alcon 10', 1)]",17720,45.805,-37.817384600000004,144.95267230000005,50,Summer,True,0.71963,"great phone i love this phone. great battery life, easy to set up and so easy to use.",True
