order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,delivery_discount,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD371014,ID0845656321,2022-06-14,Nickolson,"[('iAssist Line', 1), ('iStream', 2)]",2525,54.916000000000004,-37.818057,144.9676608,25,Winter,True,0.17668,great phone as promised came as promised and it works on my sim card that is on my current carrier. love this phone. it was in great condition.,True
ORD231367,ID3218226999,2022-09-09,Thompson,"[('Alcon 10', 1), ('Universe Note', 1), ('Thunder line', 2), ('Olivia x460', 1)]",17985,74.339,-37.8065742,144.9456498,0,Spring,False,0.6903,si es compatible con tu compañía de teléfono o ko perfecto!,True
ORD459244,ID0299029600,2022-07-14,Bakers,"[('Olivia x460', 1), ('Alcon 10', 1)]",10175,39.225,-37.801559600000004,145.00710690000003,50,Winter,True,1.40455,highly recommend currently using this phone. had it for about a month now and it’s really good.,True
ORD246639,ID0222976606,2022-10-05,Bakers,"[('Alcon 10', 1), ('Candle Inferno', 2), ('iStream', 2)]",10110,40.080999999999996,-37.8022422,144.98596980000005,50,Spring,False,1.18685,"ended up with 3 of these for children great economic way to have cell phone convenience for little cost. not really for phone addicts, works best for people who need an emergency or low use phone.",True
ORD406320,ID0723973453,2022-09-20,Bakers,"[('Olivia x460', 1), ('Universe Note', 1)]",4675,106.508,-37.809021,145.01016950000005,0,Spring,True,1.31818,heating problems good phone just kept over heating,True
ORD263787,ID0638049332,2022-02-16,Nickolson,"[('Olivia x460', 1), ('Alcon 10', 2), ('Toshika 750', 1)]",23445,87.723,-37.81867020000001,144.9664974,0,Summer,True,0.26865,great phone for the price! great phone for the price! worked perfect with verizon prepaid. really fast shipping,True
ORD282703,ID4754200393,2022-09-23,Thompson,"[('iStream', 1), ('Olivia x460', 1), ('iAssist Line', 1)]",3600,108.788,-37.816098499999995,144.92875800000004,0,Spring,True,1.6548,awesome loving this phone,True
ORD141575,ID1492131944,2022-10-25,Thompson,"[('iAssist Line', 2), ('Thunder line', 1), ('Olivia x460', 1), ('Toshika 750', 1)]",12175,97.227,-37.8120717,144.94510369999998,0,Spring,True,0.18534,a50 awesome a50 awesome,True
ORD132714,ID0248266262,2022-07-18,Nickolson,"[('Olivia x460', 2), ('Universe Note', 2), ('Lucent 330S', 1), ('Toshika 750', 2)]",19220,34.876,-37.8263896,144.9854449,50,Winter,False,1.6450099999999999,"works like a charm for my carrier metro by t mobile this phone has it all,thanks to chubbietech appropriate it",True
ORD233109,ID3862394071,2022-09-12,Thompson,"[('iStream', 2), ('Lucent 330S', 1)]",1530,74.07,-37.8090099,144.94898830000002,0,Spring,False,0.44133999999999995,honestly this thing rocks. best phone i've owned.,True
ORD107990,ID0441996141,2022-11-23,Bakers,"[('Alcon 10', 2), ('Olivia x460', 2), ('iAssist Line', 1)]",22575,78.684,-37.819742,145.00108899999995,25,Spring,True,1.20094,it's so quick so don't have to wait till my favorite apps open just got my brand new lucent x. it's so quick so don't have to wait till my favorite apps open.,True
ORD204769,ID0210397146,2022-11-14,Thompson,"[('Lucent 330S', 1), ('iAssist Line', 2)]",5680,69.791,-37.7995735,144.9550822,25,Spring,True,1.6196,two stars not for my sim,False
ORD161755,ID1217532720,2022-06-30,Thompson,"[('iStream', 1), ('Lucent 330S', 1), ('pearTV', 1), ('Alcon 10', 1)]",16640,47.903,-37.8181279,144.9485845,25,Winter,False,0.62166,five stars phone looks and works great!,True
ORD048554,ID0709971530,2022-04-04,Thompson,"[('pearTV', 1), ('Universe Note', 2), ('iStream', 2)]",13510,80.744,-37.81506870000001,144.93541430000005,0,Autumn,True,1.05904,"i love this technology. i'm older, but this is so easy to set up and use. i have the line in my bedroom and use it for everything i use my thunder for which is in the living room.",True
ORD235261,ID0746921886,2022-03-16,Nickolson,"[('pearTV', 2), ('Candle Inferno', 1), ('iStream', 2)]",13350,67.304,-37.8260078,144.98219939999996,0,Autumn,False,1.38487,exccelent produxt very good and fast shipping fast,True
ORD298812,ID0420022666,2022-11-02,Bakers,"[('iAssist Line', 1), ('pearTV', 2)]",14845,61.32343629081153,-37.8115122,144.99648969999996,25,Spring,True,0.20178,not impressed very disappointed with this phone. missing features that should be common. like tap screen to wake up. to many apps no one needs that you can't delete. camera very poor. struggles to focus. the full screen looks nice but just a little pressure on an edge opens up apps. just overall not what i was hoping for in a phone.,False
